時間(秒),右手角度：x,右手角度：y,右手角度：z,右手親指(CM関節)：x,右手親指(CM関節)：y,右手親指(CM関節)：z,右手親指(MP関節)：x,右手親指(MP関節)：y,右手親指(MP関節)：z,右手親指(IP関節)：x,右手親指(IP関節)：y,右手親指(IP関節)：z,右手親指(先端)：x,右手親指(先端)：y,右手親指(先端)：z,右手人差し指(MP関節)：x,右手人差し指(MP関節)：y,右手人差し指(MP関節)：z,右手人差し指(PIP関節)：x,右手人差し指(PIP関節)：y,右手人差し指(PIP関節)：z,右手人差し指(DIP関節)：x,右手人差し指(DIP関節).y,右手人差し指(DIP関節)：z,右手人差し指(先端)：x,右手人差し指(先端)：y,右手人差し指(先端)：z,右手中指(MP関節)：x,右手中指(MP関節)：y,右手中指(MP関節)：z,右手中指(PIP関節)：x,右手中指(PIP関節)：y,右手中指(PIP関節)：z,右手中指(DIP関節)：x,右手中指(DIP関節)：y,右手中指(DIP関節)：z,右手中指(先端)：x,右手中指(先端)：y,右手中指(先端)：z,右手薬指(MP関節)：x,右手薬指(MP関節)：y,右手薬指(MP関節)：z,右手薬指(PIP関節)：x,右手薬指(PIP関節)：y,右手薬指(PIP関節)：z,右手薬指(DIP関節)：x,右手薬指(DIP関節)：y,右手薬指(DIP関節)：z,右手薬指(先端)：x,右手薬指(先端)：y,右手薬指(先端)：z,右手小指(MP関節)：x,右手小指(MP関節)：y,右手小指(MP関節)：z,右手小指(PIP関節)：x,右手小指(PIP関節)：y,右手小指(PIP関節)：z,右手小指(DIP関節)：x,右手小指(DIP関節)：y,右手小指(DIP関節)：z,右手小指(先端)：x,右手小指(先端)：y,右手小指(先端)：z,スタンプ
0.3865,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
0.5065,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
0.6261,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
0.7485,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
0.8731,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
0.9964,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.1194,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.2427,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.3679,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.4933,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.6149,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.7486,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.8698,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
1.9944,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.1186,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.2403,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.3667,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.4882,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.6115,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.7351,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.8582,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
2.9803,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.1001,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.2210,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.3487,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.4706,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.5923,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.7127,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.8359,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
3.9584,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
4.0812,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
4.2108,0,180,0,-0.4941998,-0.2771471,-0.5142,-1.122956,-0.2771471,-0.5141999,-1.922956,-0.2771471,-0.5141998,-2.522956,-0.2771471,-0.5141999,-1.8264,-0.1686226,-0.4515722,-2.4998,-0.1686226,-0.4515721,-3.005819,-0.1686226,-0.4515721,-3.42482,-0.1686226,-0.451572,-1.761086,-0.1738343,-0.001537795,-2.582285,-0.1738343,-0.001537723,-3.175201,-0.1738343,-0.001537671,-3.598602,-0.1738343,-0.001537634,-1.635151,-0.2174851,0.3938128,-2.402751,-0.2174851,0.3938128,-2.947551,-0.2174851,0.3938129,-3.406951,-0.2174851,0.3938129,-1.434582,-0.297524,0.7278696,-2.084381,-0.297524,0.7278696,-2.487312,-0.297524,0.7278697,-2.849512,-0.297524,0.7278697,1
